navn,stavelser,frekvens,klasse,type
Xia,Xia,46,Annet,etternavn
Xie,Xie,56,Annet,etternavn
Xu,Xu,184,Annet,etternavn
Xue,Xue,43,Annet,etternavn
Yaman,Ya|man,63,Annet,etternavn
Yan,Yan,49,Annet,etternavn
Yang,Yang,206,Annet,etternavn
Yasar,Ya|sar,85,Annet,etternavn
Yasin,Ya|sin,148,Annet,etternavn
Yassin,Yas|sin,89,Annet,etternavn
Yddal,Y|ddal,29,Gårdsnavn,etternavn
Ydersbond,Y|ders|bond,21,Gårdsnavn,etternavn
Ydse,Yd|se,112,Gårdsnavn,etternavn
Ydstebø,Yd|ste|bø,125,Gårdsnavn,etternavn
Ydsti,Yd|sti,22,Gårdsnavn,etternavn
Ydstie,Yd|sti|e,42,Gårdsnavn,etternavn
Ydstines,Yd|sti|nes,17,Gårdsnavn,etternavn
Ye,Ye,78,Annet,etternavn
Yggeseth,Ygg|e|seth,64,Gårdsnavn,etternavn
Ygre,Y|gre,13,Gårdsnavn,etternavn
Yildirim,Y|li|di|rim,217,Annet,etternavn
Yildiz,Y|il|diz,253,Annet,etternavn
Yilmaz,Y|il|maz,246,Annet,etternavn
Yksnøy,Yks|nøy,132,Gårdsnavn,etternavn
Yli,Y|li,25,Gårdsnavn,etternavn
Ylvisaker,Yl|vis|aker,26,Gårdsnavn,etternavn
Ylvisåker,Yl|vis|åker,76,Gårdsnavn,etternavn
Yndesdal,Ynd|es|dal,71,Gårdsnavn,etternavn
Yndestad,Ynd|es|tad,379,Gårdsnavn,etternavn
Ynnesdal,Ynn|es|dal,128,Gårdsnavn,etternavn
Yohannes,Yo|hann|es,134,Annet,etternavn
Younas,Yo|un|as,65,Annet,etternavn
Young,Young,172,Annet,etternavn
Younis,You|nis,89,Annet,etternavn
Yousaf,You|saf,104,Annet,etternavn
Yousef,You|sef,94,Annet,etternavn
Yousefi,You|se|fi,75,Annet,etternavn
Yousif,You|sif,81,Annet,etternavn
Youssef,Yous|sef,47,Annet,etternavn
Yousuf,You|suf,41,Annet,etternavn
Yri,Y|ri,214,Gårdsnavn,etternavn
Yrke,Yr|ke,62,Gårdsnavn,etternavn
Yrkje,Yr|kje,12,Gårdsnavn,etternavn
Yrstad,Yr|stad,11,Gårdsnavn,etternavn
Ysland,Ys|land,121,Gårdsnavn,etternavn
Yssen,Ys|sen,39,Gårdsnavn,etternavn
Ystad,Y|stad,99,Gårdsnavn,etternavn
Ystanes,Y|stad|nes,100,Gårdsnavn,etternavn
Ystebø,Yste|bø,132,Gårdsnavn,etternavn
Ystehede,Yste|hed|e,26,Gårdsnavn,etternavn
Ystenes,Yste|nes,92,Gårdsnavn,etternavn
Ysterud,Yste|rud,11,Gårdsnavn,etternavn
Ystgård,Yst|gård,27,Gårdsnavn,etternavn
Ystgaard,Yst|gaard,58,Gårdsnavn,etternavn
Ystheim,Yst|heim,40,Gårdsnavn,etternavn
Ystmark,Yst|mark,64,Gårdsnavn,etternavn
Ystnæs,Yst|næs,13,Gårdsnavn,etternavn
Ystrøm,Yst|røm,26,Annet,etternavn
Ystaas,Yst|aas,47,Gårdsnavn,etternavn
Ytre,Y|tre,20,Gårdsnavn,etternavn
Ytre-Arne,Y|tre|ar|ne,49,Gårdsnavn,etternavn
Ytre-Eide,Y|tre|ei|de,37,Gårdsnavn,etternavn
Ytrearne,Y|tre|ar|ne,41,Gårdsnavn,etternavn
Ytreberg,Y|tre|berg,74,Gårdsnavn,etternavn
Ytrebø,Y|tre|bø,38,Gårdsnavn,etternavn
Ytredal,Y|tre|dal,109,Gårdsnavn,etternavn
Ytreeide,Y|tre|ei|de,29,Gårdsnavn,etternavn
YtreHauge,Y|tre|hau|ge,46,Gårdsnavn,etternavn
Ytrehorn,Y|tre|horn,24,Gårdsnavn,etternavn
Ytrehus,Y|tre|hus,106,Gårdsnavn,etternavn
Ytreland,Y|tre|land,286,Gårdsnavn,etternavn
Ytrelid,Y|tre|lid,35,Gårdsnavn,etternavn
Ytrestøl,Y|tre|støl,13,Gårdsnavn,etternavn
Ytrestøyl,Y|tre|støyl,43,Gårdsnavn,etternavn
Ytrøy,Ytr|øy,103,Gårdsnavn,etternavn
Ytteborg,Ytte|borg,32,Gårdsnavn,etternavn
Ytterbø,Ytter|bø,77,Gårdsnavn,etternavn
Ytterdahl,Ytter|dahl,126,Gårdsnavn,etternavn
Ytterdal,Ytter|dal,144,Gårdsnavn,etternavn
Yttereng,Ytter|eng,43,Gårdsnavn,etternavn
Yttergård,Ytter|gård,67,Gårdsnavn,etternavn
Ytterhaug,Ytter|haug,71,Gårdsnavn,etternavn
Ytterhus,Ytter|hus,57,Gårdsnavn,etternavn
Ytterland,Ytter|land,166,Gårdsnavn,etternavn
Ytterli,Ytter|li,70,Gårdsnavn,etternavn
Ytterlid,Ytter|lid,14,Gårdsnavn,etternavn
Yttersian,Ytter|si|an,51,Gårdsnavn,etternavn
Ytterstad,Ytter|stad,238,Gårdsnavn,etternavn
Yttervik,Ytter|vik,260,Gårdsnavn,etternavn
Yttervoll,Ytter|voll,38,Gårdsnavn,etternavn
Ytterøy,Ytter|øy,25,Gårdsnavn,etternavn
Ytterås,Ytter|ås,31,Gårdsnavn,etternavn
Yttredal,Yttre|dal,31,Gårdsnavn,etternavn
Yttreeide,Yttre|ei|de,16,Gårdsnavn,etternavn
Yttregaard,Yttre|gaard,11,Gårdsnavn,etternavn
Yttrehus,Yttre|hus,27,Gårdsnavn,etternavn
Yttri,Ytt|ri,127,Gårdsnavn,etternavn
Yu,Yu,144,Annet,etternavn
Yuen,Yu|en,43,Annet,etternavn
Yussuf,Yus|suf,49,Annet,etternavn
Yusuf,Yu|suf,621,Annet,etternavn
Yuusuf,Yuu|suf,34,Annet,etternavn
Yven,Y|ven,59,Gårdsnavn,etternavn
Zacariassen,Za|ca|ri|ass|en,10,Patronym,etternavn
Zachariasen,Za|cha|ri|as|en,22,Patronym,etternavn
Zachariassen,Za|cha|ri|ass|en,582,Patronym,etternavn
Zachrisen,Za|chri|sen,42,Patronym,etternavn
Zachrisson,Za|chri|sson,25,Patronym,etternavn
Zafar,Za|far,104,Annet,etternavn
Zahid,Za|hid,109,Annet,etternavn
Zahl,Zahl,369,Annet,etternavn
Zaidi,Za|i|di,66,Annet,etternavn
Zajac,Za|jac,98,Annet,etternavn
Zak,Zak,82,Annet,etternavn
Zakariassen,Za|ka|ri|ass|en,399,Patronym,etternavn
Zaman,Za|man,131,Annet,etternavn
Zamani,Za|man|i,38,Annet,etternavn
Zappfe,Za|ppfe,65,Annet,etternavn
Zawadzka,Za|wad|zka,19,Annet,etternavn
Zawadzki,Za|wad|zki,65,Annet,etternavn
Zeiner,Zei|ner,58,Annet,etternavn
Zernichow,Zer|ni|chow,61,Annet,etternavn
Zetlitz,Zet|litz,40,Annet,etternavn
Zetterstrøm,Zett|er|strøm,130,Annet,etternavn
Zhalsen,Zhal|sen,41,Patronym,etternavn
Zhang,Zhang,432,Annet,etternavn
Zhao,Zhano,110,Annet,etternavn
Zheng,Zheng,67,Annet,etternavn
Zhou,Zhou,106,Annet,etternavn
Zhu,Zhu,88,Annet,etternavn
Zia,Zia,83,Annet,etternavn
Ziegler,Zie|gler,73,Annet,etternavn
Zielenska,Zi|el|en|ska,69,Annet,etternavn
Zielenski,Zi|el|en|ski,192,Annet,etternavn
Ziener,Zi|en|er,69,Annet,etternavn
Zimmer,Zimm|er,101,Annet,etternavn
Zimmermann,Zimm|er|mann,250,Annet,etternavn
Ziolkowska,Zi|ol|kow|ska,20,Annet,etternavn
Ziolkowski,Zi|ol|kow|ski,60,Annet,etternavn
Zurawska,Zu|raw|ska,13,Annet,etternavn
Zurawski,Zu|raw|ski,46,Annet,etternavn
