navn,kjønn,frekvens,stavelser,antall_stavelser,type
Aaron,m,576,a|ron,2,personnavn
Abba,f,7,a|bba,2,personnavn
Abel,f,0,a|bel,2,personnavn
Abel,m,811,a|bel,2,personnavn
Abella,f,4,a|bel|la,3,personnavn
Abelle,f,0,a|bel|le,3,personnavn
Abeline,f,0,a|bel|ine,3,personnavn
Abelone,f,46,a|bel|one,3,personnavn
Abiel,m,36,a|bi|el,3,personnavn
Abigael,f,32,a|bi|gael,3,personnavn
Abla,f,0,a|bla,2,personnavn
Ablu,m,0,a|blu,2,personnavn
Ablun,m,0,a|blun,2,personnavn
Abner,m,7,ab|ner,2,personnavn
Abraham,m,361,a|bra|ham,3,personnavn
Abrahama,f,0,a|bra|ham|a,4,personnavn
Abrahamine,f,0,a|bra|ham|i|ne,5,personnavn
Abram,m,15,a|bram,2,personnavn
Abrama,f,0,a|bram|a,3,personnavn
Abramine,f,0,a|bram|i|ne,4,personnavn
Absalon,m,4,ab|sa|lon,3,personnavn
Ada,f,3857,a|da,2,personnavn
Adalbert,m,6,a|dal|bert,3,personnavn
Adalbjørg,f,0,a|dal|bjørg,3,personnavn
Adam,m,4885,a|dam,2,personnavn
Adama,f,27,a|dam|a,3,personnavn
Adamine,f,0,a|dam|ine,3,personnavn
Adar,m,32,a|dar,2,personnavn
Adda,f,7,a|dda,2,personnavn
Addar,m,0,a|ddar,2,personnavn
Addy,f,0,add|y,2,personnavn
Adel,f,15,a|del,2,personnavn
Adel,m,217,a|del,2,personnavn
Adelaine,f,7,a|del|aine,3,personnavn
Adele,f,1100,a|del|e,3,personnavn
Adeleine,f,14,a|del|ei|ne,4,personnavn
Adeline,f,131,a|del|i|ne,4,personnavn
Adelgunde,f,0,a|del|gun|de,4,personnavn
Adelheid,f,0,a|del|heid,3,personnavn
Adela,f,175,a|del|a,3,personnavn
Adelia,f,79,a|de|li|a,4,personnavn
Adelida,f,0,a|de|li|da,4,personnavn
Adeline,f,131,a|de|li|ne,4,personnavn
Adelle,f,11,a|delle,2,personnavn
Adelstein,m,0,a|del|stein,3,personnavn
Adelus,f,0,a|del|us,3,personnavn
Adeodatus,m,0,a|deo|da|tus,4,personnavn
Adina,f,191,a|di|na,3,personnavn
Adine,f,183,a|di|ne,3,personnavn
Adlaug,f,0,ad|laug,2,personnavn
Adler,m,20,ad|ler,2,personnavn
Adlu,f,0,ad|lu,2,personnavn
Adolf,m,66,a|dolf,2,personnavn
Adolv,m,0,ad|olv,2,personnavn
Adolfa,f,0,a|dolf|a,3,personnavn
Adolfine,f,0,a|dolf|ine,3,personnavn
Ador,m,0,a|dor,2,personnavn
Adora,f,18,a|dor|a,3,personnavn
Adorf,m,0,a|dorf,2,personnavn
Adrian,m,10495,a|dri|an,3,personnavn
Adriana,f,726,a|dri|a|na,4,personnavn
Adriette,f,0,a|dri|ette,3,personnavn
Affen,m,0,af|fen,2,personnavn
Aga,f,4,a|ga,2,personnavn
Agar,f,0,a|gar,2,personnavn
Agate,f,79,a|ga|te,3,personnavn
Agaton,m,9,a|ga|ton,3,personnavn
Agbart,m,0,ag|bart,2,personnavn
Agda,f,16,ag|da,2,personnavn
Agdar,m,0,ag|dar,2,personnavn
Agdis,f,12,ag|dis,2,personnavn
Agenete,f,0,ag|e|ne|te,4,personnavn
Agenta,f,0,a|gen|ta,3,personnavn
Ager,f,0,a|ger,2,personnavn
Agerta,f,0,a|gert|a,3,personnavn
Agerton,m,0,a|ger|ton,3,personnavn
Agete,f,0,a|get|e,3,personnavn
Agga,f,0,ag|ga,2,personnavn
Aggi,f,15,agg|i,2,personnavn
Agine,f,0,a|gi|ne,3,personnavn
Agite,f,0,a|gi|te,3,personnavn
Agmund,m,6,ag|mund,2,personnavn
Agna,f,17,ag|na,2,personnavn
Agnar,m,755,ag|nar,2,personnavn
Agne,f,247,ag|ne,2,personnavn
Agne,m,4,ag|ne,2,personnavn
